standard,config,preset,speed_bin_mbps,density_gb,stack_height,mode,source,claim_boundary
HBM3,configs/hbm.cfg,,6400,16,8,default,external_reference,Ramulator2.1-derived research parameters; not device calibration
HBM3,configs/validation/hbm3.cfg,ramulator2_reference_1ch,6400,16,8,differential_single_channel,external_reference,controlled common-surface reference only
HBM3,configs/validation/hbm3.cfg,dramsim3_hbm2_common,1000,4,0,older_hbm_common_surface,external_reference,older HBM command and IDD abstraction only
HBM4,configs/hbm.cfg,,8000,32,8,full_stack_crc_off,jedec+research_default,JESD-oriented structure with explicitly marked research row and RL/WL defaults
HBM4,configs/validation/hbm4.cfg,validation_native_1ch,8000,32,8,project_native_validation,jedec+research_default,project-native one-channel validation slice
HBM4,configs/validation/hbm4.cfg,ramulator2_reference_1ch,8000,32,8,differential_single_channel,external_reference,Ramulator2.1 common-surface reference; not device calibration
HBM4,experiments/local/hx_hbm4_9000_48gb_16hi.cfg,,9000,48,16,full_stack_crc16_ras_research,research_default,Self-contained synthetic research model; not a real datasheet
LPDDR5,configs/lpddr.cfg,,6400,16,0,default,external_reference,Ramulator2.1-derived research parameters; not device calibration
LPDDR5,configs/validation/lpddr5.cfg,ramulator2_reference_1ch,6400,16,0,differential_x16,external_reference,controlled common-surface reference only
LPDDR6,configs/lpddr.cfg,,10667,16,0,dvfsl_linkprot_off_bl24,jedec,JESD209-6-oriented standard model; vendor calibration still required
LPDDR6,configs/lpddr.cfg,link_protection,10667,16,0,dvfsl_linkprot_on_eff_on_bl24,jedec,JESD-oriented link-protection mode
LPDDR6,configs/lpddr.cfg,low_dvfs_4267,4267,16,0,dvfsl_low_bl24,jedec,JESD-oriented low-DVFS mode
LPDDR6,configs/validation/lpddr6.cfg,ramulator2_reference_1ch,10667,16,0,differential_x12_bl24,external_reference,Ramulator2.1 common-surface reference; not device calibration
LPDDR6,experiments/local/lpddr6_synthetic_linkprot.cfg,,10667,16,0,dvfsl_linkprot_on_eff_on_bl24_test,research_default,Self-contained synthetic research model; not a real datasheet
